order,partitions,mf_type,margin_percent,train_RMSE,train_MAE,train_MAPE,test_RMSE,test_MAE,test_MAPE,execution_time
1,11,trapezoidal,0.1,372.1851858842827,232.37229437229436,206.59643137603553,371.37574613985856,273.0590909090909,101.36380246830896,0.009359359741210938
1,13,bell,0.1,432.16357279483157,362.70405643738985,873.6836180844139,405.0039894636611,337.5055555555554,254.6613566079258,0.02585458755493164
1,13,gaussian,0.1,432.16357279483157,362.70405643738985,873.6836180844139,405.0039894636611,337.5055555555554,254.6613566079258,0.025282621383666992
1,13,triangular,0.1,432.16357279483157,362.70405643738985,873.6836180844139,405.0039894636611,337.5055555555554,254.6613566079258,0.009621858596801758
1,17,triangular,0.1,292.8384100345008,179.6444444444445,226.31306477053948,430.9802557349157,296.8541666666667,84.83452810521217,0.010485172271728516
1,17,gaussian,0.1,292.8384100345008,179.6444444444445,226.31306477053948,430.9802557349157,296.8541666666667,84.83452810521217,0.027944087982177734
1,17,bell,0.1,292.8384100345008,179.6444444444445,226.31306477053948,430.9802557349157,296.8541666666667,84.83452810521217,0.0288851261138916
1,17,trapezoidal,0.1,358.05898594149124,291.49816370992835,710.6548817698963,433.5491072361197,330.30980392156863,203.75473705979036,0.010015249252319336
1,15,triangular,0.1,307.3418185655077,233.77142857142863,485.6093979698967,440.95342535616317,312.71666666666664,138.92417757737138,0.009678363800048828
1,15,gaussian,0.1,307.3418185655077,233.77142857142863,485.6093979698967,440.95342535616317,312.71666666666664,138.92417757737138,0.02729320526123047
1,15,bell,0.1,307.3418185655077,233.77142857142863,485.6093979698967,440.95342535616317,312.71666666666664,138.92417757737138,0.0308072566986084
1,15,trapezoidal,0.1,442.71956945307903,409.84677248677247,1059.5356898171844,441.3441718205872,382.66333333333336,308.0262539832324,0.01035761833190918
1,9,trapezoidal,0.1,426.13491930756254,310.38024691358027,578.8721764478435,450.70276195030107,336.8055555555557,170.5408672976971,0.0334317684173584
1,11,bell,0.1,614.7989236770812,574.2395767195768,1434.0205784308548,500.0277289644381,437.41000000000014,420.26992656829174,0.06396627426147461
1,11,gaussian,0.1,614.7989236770812,574.2395767195768,1434.0205784308548,500.0277289644381,437.41000000000014,420.26992656829174,0.05835700035095215
1,11,triangular,0.1,614.7989236770812,574.2395767195768,1434.0205784308548,500.0277289644381,437.41000000000014,420.26992656829174,0.024020671844482422
1,7,trapezoidal,0.1,566.1062296781614,517.5767195767196,1274.1241002632662,531.1540297628678,476.38333333333344,380.67358295766843,0.02481985092163086
2,7,trapezoidal,0.1,561.1122781791576,513.7202127659576,1275.1014013474532,595.2614579605615,508.6416666666667,382.452971940765,0.012318611145019531
1,13,trapezoidal,0.1,613.1757639242393,589.1988603988605,1519.9465447248704,616.290182633997,538.7057692307693,450.12913815245304,0.014554977416992188
3,17,trapezoidal,0.1,256.80979429555686,237.31374646115125,710.8721514523772,630.745414463082,453.392156862745,207.90409660346992,0.021863222122192383
1,7,gaussian,0.1,750.8379888515535,722.0634920634922,1807.6214615962651,631.8235750587343,560.1333333333333,534.8632937471983,0.053801774978637695
2,7,gaussian,0.1,743.8633664002687,714.1946808510638,1808.480781628085,631.8235750587343,560.1333333333333,534.8632937471983,0.03222084045410156
2,7,triangular,0.1,743.8633664002687,714.1946808510638,1808.480781628085,631.8235750587343,560.1333333333333,534.8632937471983,0.01586318016052246
1,7,bell,0.1,750.8379888515535,722.0634920634922,1807.6214615962651,631.8235750587343,560.1333333333333,534.8632937471983,0.05447220802307129
2,7,bell,0.1,743.8633664002687,714.1946808510638,1808.480781628085,631.8235750587343,560.1333333333333,534.8632937471983,0.033590078353881836
1,7,triangular,0.1,750.8379888515535,722.0634920634922,1807.6214615962651,631.8235750587343,560.1333333333333,534.8632937471983,0.0247344970703125
1,5,triangular,0.1,517.0794877132109,399.7185185185187,876.757495146337,636.2134259298002,527.95,280.6227608350119,0.028065919876098633
1,5,gaussian,0.1,517.0794877132109,399.7185185185187,876.757495146337,636.2134259298002,527.95,280.6227608350119,0.06309723854064941
1,5,bell,0.1,517.0794877132109,399.7185185185187,876.757495146337,636.2134259298002,527.95,280.6227608350119,0.05211186408996582
2,5,triangular,0.1,523.8060772802705,405.02021276595764,879.1087465980607,652.7216583914873,545.3000000000001,288.47343956804366,0.00800013542175293
2,5,bell,0.1,523.8060772802705,405.02021276595764,879.1087465980607,652.7216583914873,545.3000000000001,288.47343956804366,0.027614593505859375
2,5,gaussian,0.1,523.8060772802705,405.02021276595764,879.1087465980607,652.7216583914873,545.3000000000001,288.47343956804366,0.01749110221862793
2,15,triangular,0.1,208.3596149663754,191.28829787234048,486.979472270047,654.7116031760346,413.8,143.72725660138016,0.012389183044433594
2,15,bell,0.1,208.3596149663754,191.28829787234048,486.979472270047,654.7116031760346,413.8,143.72725660138016,0.038514137268066406
2,15,gaussian,0.1,208.3596149663754,191.28829787234048,486.979472270047,654.7116031760346,413.8,143.72725660138016,0.03729677200317383
2,17,gaussian,0.1,155.82931196692462,123.05319148936174,217.16050956108094,662.4025425172621,404.67499999999995,84.61612893724556,0.05562400817871094
2,17,bell,0.1,155.82931196692462,123.05319148936174,217.16050956108094,662.4025425172621,404.67499999999995,84.61612893724556,0.05711507797241211
2,17,triangular,0.1,155.82931196692462,123.05319148936174,217.16050956108094,662.4025425172621,404.67499999999995,84.61612893724556,0.013846397399902344
3,5,triangular,0.1,529.257277590354,409.31978609625685,882.958816403309,665.2987324002154,558.8166666666667,298.9514757437542,0.010036468505859375
3,5,bell,0.1,529.257277590354,409.31978609625685,882.958816403309,665.2987324002154,558.8166666666667,298.9514757437542,0.033390045166015625
3,5,gaussian,0.1,529.257277590354,409.31978609625685,882.958816403309,665.2987324002154,558.8166666666667,298.9514757437542,0.026083946228027344
3,17,gaussian,0.1,151.98628702567305,122.23315508021393,221.61100626507437,670.305033796803,421.1499999999999,84.3847708195853,0.05646705627441406
3,17,bell,0.1,151.98628702567305,122.23315508021393,221.61100626507437,670.305033796803,421.1499999999999,84.3847708195853,0.05964946746826172
3,17,triangular,0.1,151.98628702567305,122.23315508021393,221.61100626507437,670.305033796803,421.1499999999999,84.3847708195853,0.01711893081665039
4,9,trapezoidal,0.1,283.84698980273106,250.57526881720435,582.2984605004178,673.5074684069955,454.99722222222226,179.72864205819843,0.01957535743713379
2,17,trapezoidal,0.1,257.8359204002311,238.50944931163951,709.8394376050093,677.8754373213744,446.2828431372548,207.21928227323852,0.02179694175720215
5,9,trapezoidal,0.1,279.8937612695175,246.49261261261265,582.9698114821902,686.4189879636468,470.1333333333334,185.10043486155965,0.018973112106323242
5,11,trapezoidal,0.1,238.9842121732759,185.16294840294853,250.84802011193932,698.4290090543957,437.5249999999999,118.58605568421507,0.021264076232910156
5,17,bell,0.1,161.21782008671846,131.65081081081084,238.06427583836785,707.5041613540752,405.6916666666666,84.77911388122487,0.2459096908569336
5,17,triangular,0.1,161.21782008671846,131.65081081081084,238.06427583836785,707.5041613540752,405.6916666666666,84.77911388122487,0.06644225120544434
5,17,gaussian,0.1,161.21782008671846,131.65081081081084,238.06427583836785,707.5041613540752,405.6916666666666,84.77911388122487,0.2395920753479004
5,17,trapezoidal,0.1,256.34503682205593,236.64375198728135,711.7966749367423,707.8854491699076,457.470588235294,203.16437414173961,0.06643795967102051
3,13,gaussian,0.1,322.20485794178126,302.97112299465243,874.0482692035755,710.872095855975,568.8749999999999,263.9461481380534,0.1630568504333496
3,13,triangular,0.1,322.20485794178126,302.97112299465243,874.0482692035755,710.872095855975,568.8749999999999,263.9461481380534,0.051253557205200195
3,13,bell,0.1,322.20485794178126,302.97112299465243,874.0482692035755,710.872095855975,568.8749999999999,263.9461481380534,0.13934779167175293
2,15,trapezoidal,0.1,391.30863556000116,368.49638297872343,1058.9695814101938,714.5647944495074,579.1083333333335,323.810397447886,0.013115406036376953
