order,partitions,mf_type,margin_percent,train_RMSE,train_MAE,train_MAPE,test_RMSE,test_MAE,test_MAPE,execution_time
1,9,gaussian,0.1,11496.012396578866,9517.017989417991,18.077005388922935,9284.725845973904,7695.288541666668,11.159490537825185,0.009468317031860352
1,9,bell,0.1,11496.012396578866,9517.017989417991,18.077005388922935,9284.725845973904,7695.288541666668,11.159490537825185,0.010825872421264648
1,9,triangular,0.1,11496.012396578866,9517.017989417991,18.077005388922935,9284.725845973904,7695.288541666668,11.159490537825185,0.004226207733154297
1,9,trapezoidal,0.1,9654.664401458565,7390.564550264548,11.8923676996699,9440.574673676345,7503.480555555554,9.56427355697288,0.004599332809448242
1,13,trapezoidal,0.1,9928.29852848436,7646.095075295073,12.60896081068434,9616.759822258555,6973.777884615382,8.33272726681499,0.0069735050201416016
2,9,triangular,0.1,11414.197612641263,9368.417287234044,18.03840124769894,9718.267433325656,8350.5609375,11.919627369128477,0.0046100616455078125
2,9,bell,0.1,11414.197612641263,9368.417287234044,18.03840124769894,9718.267433325656,8350.5609375,11.919627369128477,0.012567520141601562
2,9,gaussian,0.1,11414.197612641263,9368.417287234044,18.03840124769894,9718.267433325656,8350.5609375,11.919627369128477,0.012805461883544922
3,13,bell,0.1,6934.216061813459,5357.513101604277,9.349457307259355,9730.138828333635,7524.056250000001,9.243200842034865,0.020360469818115234
3,13,triangular,0.1,6934.216061813459,5357.513101604277,9.349457307259355,9730.138828333635,7524.056250000001,9.243200842034865,0.007875919342041016
3,13,gaussian,0.1,6934.216061813459,5357.513101604277,9.349457307259355,9730.138828333635,7524.056250000001,9.243200842034865,0.019768476486206055
3,17,trapezoidal,0.1,5882.098275582344,4427.560899653979,7.508651597964741,9736.468693255885,6447.182843137252,7.130904027713179,0.00930476188659668
2,17,trapezoidal,0.1,6419.973366497813,4931.737296620775,8.30166210556458,9856.013850661091,7276.813235294115,8.341158011098946,0.006258487701416016
2,9,trapezoidal,0.1,9489.353675934626,7302.1237588652475,11.956199266339073,9870.710072116279,7989.959722222222,10.152455835830848,0.005043745040893555
1,17,trapezoidal,0.1,8417.132704680951,6125.184500466852,9.358475945608264,9880.953486919836,6908.570833333332,7.537056936160915,0.005243062973022461
1,13,triangular,0.1,9946.095215068852,7566.735449735446,11.547702563607535,10023.38059525611,7607.507812499999,9.256110844371763,0.004765748977661133
1,13,bell,0.1,9946.095215068852,7566.735449735446,11.547702563607535,10023.38059525611,7607.507812499999,9.256110844371763,0.013429403305053711
1,13,gaussian,0.1,9946.095215068852,7566.735449735446,11.547702563607535,10023.38059525611,7607.507812499999,9.256110844371763,0.009994029998779297
2,15,gaussian,0.1,7263.551424289938,5438.494072948327,8.871310957283347,10130.6750042489,7893.555059523809,9.010863935100486,0.030027389526367188
2,15,triangular,0.1,7263.551424289938,5438.494072948327,8.871310957283347,10130.6750042489,7893.555059523809,9.010863935100486,0.013094425201416016
2,15,bell,0.1,7263.551424289938,5438.494072948327,8.871310957283347,10130.6750042489,7893.555059523809,9.010863935100486,0.020553112030029297
3,13,trapezoidal,0.1,7260.997747517344,5571.625545043194,10.730513018654579,10458.531525315857,8353.459935897436,9.874961111731013,0.0074841976165771484
3,11,gaussian,0.1,7576.405710942076,6001.6074866310155,11.342942987637777,10485.472766597522,8327.13875,10.498178134623338,0.02916884422302246
3,11,triangular,0.1,7576.405710942076,6001.6074866310155,11.342942987637777,10485.472766597522,8327.13875,10.498178134623338,0.007036447525024414
3,11,bell,0.1,7576.405710942076,6001.6074866310155,11.342942987637777,10485.472766597522,8327.13875,10.498178134623338,0.027937889099121094
1,15,trapezoidal,0.1,8550.57589115654,6282.106137566136,9.732141063488262,10579.58205729634,8012.751666666666,9.601127624356867,0.012303590774536133
1,17,gaussian,0.1,7642.8217587005265,5516.021626984128,8.19588628268196,10803.311820061605,8359.791927083335,9.77442199026864,0.014947891235351562
1,17,triangular,0.1,7642.8217587005265,5516.021626984128,8.19588628268196,10803.311820061605,8359.791927083335,9.77442199026864,0.0043947696685791016
1,17,bell,0.1,7642.8217587005265,5516.021626984128,8.19588628268196,10803.311820061605,8359.791927083335,9.77442199026864,0.013296127319335938
1,11,gaussian,0.1,10074.536479109915,7975.668465608464,13.28665296688634,11058.705858432682,8836.609166666667,10.711447142167236,0.009604692459106445
1,11,triangular,0.1,10074.536479109915,7975.668465608464,13.28665296688634,11058.705858432682,8836.609166666667,10.711447142167236,0.004387855529785156
